id,name,start_date,end_date,replaces,replaced_by
Q333019,"Thomas Inskip, 1st Viscount Caldecote",1936-03-13,1939-01-29,,Q2291802
Q2291802,"Ernle Chatfield, 1st Baron Chatfield",1939-01-29,1940-04-03,Q333019,Q8016
Q8016,Winston Churchill,1940-05-10,1945-07-27,Q2291802,Q129006
Q129006,Clement Attlee,1945-07-27,1946-12-20,Q8016,Q964833
Q964833,"A. V. Alexander, 1st Earl Alexander of Hillsborough",1946-12-20,1950-02-28,Q129006,Q333582
Q333582,Manny Shinwell,1950-02-28,1951-10-26,Q964833,Q8016
Q8016,Winston Churchill,1951-10-28,1952-03-01,Q333582,Q39168
Q39168,"Harold Alexander, 1st Earl Alexander of Tunis",1952-03-01,1954-10-18,Q8016,Q128985
Q128985,Harold Macmillan,1954-10-18,1955-04-07,Q39168,Q333080
Q333080,Selwyn Lloyd,1955-04-07,1955-12-20,Q128985,Q332995
Q332995,Walter Monckton,1955-12-20,1956-10-18,Q333080,Q333766
Q333766,"Antony Head, 1st Viscount Head",1956-10-18,1957-01-09,Q332995,Q203129
Q203129,Duncan Sandys,1957-01-13,1959-10-14,Q333766,Q334345
Q334345,"Harold Watkinson, 1st Viscount Watkinson",1959-10-14,1962-07-13,Q203129,Q334282
Q334282,"Peter Thorneycroft, Baron Thorneycroft",1962-07-13,1964-04-01,Q334345,Q334282
Q334282,"Peter Thorneycroft, Baron Thorneycroft",1964-04-01,1964-10-16,Q334282,Q332360
Q332360,Denis Healey,1964-10-16,1970-06-19,Q334282,Q335038
Q335038,"Peter Carington, 6th Baron Carrington",1970-06-20,1974-01-08,Q332360,Q333362
Q333362,"Ian Gilmour, Baron Gilmour of Craigmillar",1974-01-08,1974-03-04,Q335038,Q333700
Q333700,Roy Mason,1974-03-05,1976-09-10,Q333362,Q334362
Q334362,Fred Mulley,1976-09-10,1979-05-04,Q333700,Q332759
Q332759,"Francis Pym, Baron Pym",1979-05-05,1981-01-05,Q334362,Q333406
Q333406,John Nott,1981-01-05,1983-01-06,Q332759,Q332314
Q332314,Michael Heseltine,1983-01-06,1986-01-07,Q333406,Q333145
Q333145,"George Younger, 4th Viscount Younger of Leckie",1986-01-07,1989-07-24,Q332314,Q333312
Q333312,"Tom King, Baron King of Bridgwater",1989-07-24,1992-04-10,Q333145,Q333487
Q333487,Malcolm Rifkind,1992-04-10,1995-07-05,Q333312,Q333525
Q333525,Michael Portillo,1995-07-05,1997-05-02,Q333487,Q333056
Q333056,"George Robertson, Baron Robertson of Port Ellen",1997-05-03,1999-10-11,Q333525,Q332385
Q332385,Geoff Hoon,1999-10-11,2005-05-06,Q333056,Q333461
Q333461,"John Reid, Baron Reid of Cardowan",2005-05-06,2006-05-05,Q332385,Q332587
Q332587,Des Browne,2006-05-05,2008-10-03,Q333461,Q332562
Q332562,"John Hutton, Baron Hutton of Furness",2008-10-03,2009-06-05,Q332587,Q258738
Q258738,Bob Ainsworth,2009-06-05,2010-05-11,Q332562,Q332374
Q332374,Liam Fox,2010-05-11,2011-10-14,Q258738,Q332987
Q332987,Philip Hammond,2011-10-14,2014-07-15,Q332374,Q304095
Q304095,Michael Fallon,2014-07-15,2017-11-01,Q332987,Q262409
Q262409,Gavin Williamson,2017-11-02,2019-05-01,Q304095,Q580464
Q580464,Penny Mordaunt,2019-05-01,2019-07-24,Q262409,Q263166
Q263166,Ben Wallace (politician),2019-07-24,,Q580464,
